id,matchRating,status,name,roleOrganization,occupation,pwdAtRelevance,country,tzDiffHours,localTimeInSlot,verificationStatus,contact,profileUrl,priorPublicSpeaking,outreachStatus,careerBackground,reputationActivity,notes
ma-l-fabien,5,new,Maël Fabien,"Co-Founder, biped.ai",Entrepreneur/engineer,"Co-created NOA, the AI mobility vest for blind/low-vision people, developed with Honda Research Institute and tested with 250+ blind/low-vision beta-testers across 19 countries",Switzerland (Lausanne),-1,13:00-16:00 CEST (ideal),"Verified (biped.ai, Biopôle, EU-Startups, GGBA)",Contact form at biped.ai,biped.ai,Y — invited by the Vista Center for the Blind to speak at Sight Tech Global,Not sent,Co-founded biped.ai in 2021; three years of R&D with Honda Research Institute before NOA's commercial launch; product now shipped to 10+ countries,Featured in EU-Startups' '10 promising European startups' (2024); won the 'Prix de la canne blanche' award,"This is the exact company Stoyan named as an example — strong direct fit, ideal timezone"
mike-hess,5,existing,Mike Hess,"Founder & Executive Director, Blind Institute of Technology","Nonprofit workforce org founder, blind (ex-software engineer)",Places blind/visually impaired (BVI) professionals into Fortune 500 tech roles; runs employer-education programs,USA (Colorado),-9,05:00-08:00 MDT (early morning),"Verified (org site, Crunchbase, LinkedIn)",mike@blindinstituteoftechnology.org,blindinstituteoftechnology.org,"Y — keynotes, SXSW EDU panel",Not sent,Nearly 20-year career as a software engineer in telecom before leaving in 2013 to found BIT after being tired of being the 'token blind guy',"2017 MLK Business Award, 2019 GlobalMindED Inclusive Leader Award; has placed BVI professionals at Fortune 500 companies nationwide","Very strong direct-fit story, but slot is pre-dawn for him — flag in first email and offer to record if needed"
saqib-shaikh,5,new,Saqib Shaikh,"Software Engineer & Lead, Seeing AI, Microsoft","Engineer, blind since age 7","Built and leads Microsoft's Seeing AI app (reads text/scenes/people aloud for blind users), used 20M+ times — direct example of a major global employer building AT with a blind employee",UK (London),-2,12:00-15:00 BST (ideal),"Verified (Microsoft Stories, TechCrunch, Zero Project, Forbes)",LinkedIn/X @saqibs; Microsoft corporate press office,microsoft.com/en-us/garage/wall-of-fame/seeing-ai,Y — demoed to UK PM and House of Lords; regular Sight Tech Global speaker,Not sent,"Lost sight at 7, attended a school for blind students, studied CS at University of Sussex, joined Microsoft ~12 years ago working on Bing/Cortana before founding Seeing AI",Praised on stage by Satya Nadella at Build 2016; Seeing AI named one of 15 milestones in Microsoft's 50-year AI history; active on Sight Tech Global circuit,Probably the single best 'employer + AT + blind employee' story on the whole list; ideal UK timezone
srikanth-bolla,5,existing,Srikanth Bolla,"Founder/Chairman, Bollant Industries",Industrialist (packaging manufacturing),36% of 500+ staff are people with disabilities,India,2.5,16:30-19:30 IST (good evening slot),"Verified (Wikipedia, Bollant, self-published contact)",srikanth@bollant.com (published by him on Instagram),srikanthbolla.com,Y — 100+ keynote stages incl. TEDx,Not sent,"First international blind student admitted to MIT Sloan; founded Bollant Industries in 2012 with Ravi Mantha, starting from ~10 lakh INR capital",Company now valued at 60M+ USD; Bolla is a regular global keynote speaker on inclusive leadership,Strongest single match from the original document — verified and ready to contact
thorkil-sonne,5,existing,Thorkil Sonne,"Founder, Specialisterne Foundation","Social entrepreneur (ex-IT), autism employment pioneer","Model has led to 10,000+ autistic people employed in competitive jobs across 26 countries since 2004",Denmark,-1,13:00-16:00 CEST (ideal),"Verified (Wikipedia, HBR, org sites)",Contact form on specialisterne.com,specialisterne.com / specialisternefoundation.com,"Y — HBR article, WEF Schwab Fellow, international lecturer",Not sent,Founded Specialisterne in 2004 after his son Lars was diagnosed with autism; used his house as collateral to start the company,Company named to Forbes Accessibility 100 (2025) via Specialisterne; Ashoka Globalizer Fellow,"Best timezone match on the list along with Fabien/Wiberg; globally cited case study, exactly the profile the brief describes"
tom-and-john-d-eri,5,existing,Tom & John D'Eri,"Co-Founders, Rising Tide Car Wash",Family entrepreneurs (car wash social enterprise),"80%+ of 100+ staff are on the autism spectrum; John (CEO) and Tom (COO, co-founder) built the model and now teach it via Rising Tide U",USA (Florida),-7,07:00-10:00 EDT (early but workable),"Verified (LinkedIn, Autism Speaks, MIT Solve, multiple press)",Contact via risingtidecarwash.com / risingtideu.com,risingtidecarwash.com,"Y — Fortune 500 talks, Forbes 30U30, book author, international conferences",Not sent,Tom built the business straight out of business school with father John (a serial entrepreneur) specifically to employ his autistic brother Andrew,Autism Society of America Employer of the Year (2014); Ruderman 'Best in Business' Award (2015); Tom sits on Disability:IN's Autism @ Work Roundtable,One of the best-documented 'employer of PWD' stories in the world; Tom is media-trained and used to being pitched for speaking
amanda-kirby,4,existing,Amanda Kirby,"CEO, Do-IT Solutions","Neurodiversity-at-work consultant, professor",Runs a company built around helping employers hire/retain neurodivergent staff,UK,-2,12:00-15:00 BST (ideal),Verified (AEV DEI Hub podcast),Not found yet — check do-itsolutions.co.uk,(verify URL),"Y — podcast guest, academic",Not sent,Academic background in neurodiversity research; built Do-IT Solutions as a commercial consultancy for employers,Regular podcast/webinar guest on neurodiversity-in-the-workplace topics,Strong neurodiversity-in-employment angle not covered by other leads
caroline-casey,4,existing,Caroline Casey,"Founder, The Valuable 500 / President, IAPB",Social entrepreneur / activist,"Built a coalition of 500 global employers (incl. Apple, IBM, L'Oreal) committing to disability inclusion",Ireland/UK (org HQ London),-2,12:00-15:00 BST (ideal),"Verified (WEF, Valuable 500 site, IAPB)",Press contact Charlotte Armstrong via thevaluable500.com contact form,thevaluable500.com,"Y — TED speaker, Davos",Not sent,Discovered she was legally blind (albinism) only at 17; built a career at Accenture before founding The Valuable 500 in 2019,"President, International Agency for the Prevention of Blindness (IAPB); sits on D&I boards at L'Oreal, Sanofi, Sky","Not an individual 'employer' but can speak to 500 employers' practices, or bridge you to a specific member company"
dave-power,4,existing,Dave Power,"President & CEO, Perkins School for the Blind","Nonprofit executive (ex-tech exec, sighted)",Perkins runs international employment/transition-to-work programs for blind youth and adults,USA (Massachusetts),-7,07:00-10:00 EDT (early but workable),"Verified (Bloomberg, Crunchbase, Perkins site)",Contact form perkins.org/our-team,perkins.org,"Y — many interviews, panels",Not sent,"Tech-industry executive (Sun Microsystems, RSA Security, startup CEO) before joining Perkins' board in 2005 and becoming CEO in 2014; son is deafblind",Author of 'The Curve Ahead'; frequent speaker on nonprofit strategy and disability employment outcomes,"Note: source doc wrongly listed him as blind — he is sighted, his son is deafblind. Still a strong institutional-employer voice"
esi-hardy,4,existing,Esi Hardy,"Founder, Owner & MD, Celebrating Disability",Entrepreneur / workplace inclusion trainer,Runs a company delivering disability-inclusion training to employers,UK,-2,12:00-15:00 BST (ideal),"Verified (AEV DEI Hub podcast, ex-actor)",Not found yet — search official site,(verify URL),Y — podcast guest,Not sent,Former actor who was frequently typecast because of her disability; pivoted that experience into founding a corporate training business,Regular podcast guest drawing parallels between acting typecasting and workplace stereotyping,"Background as an actor typecast by disability gives her a strong, distinctive personal narrative for the audience"
eve-andersson,4,new,Eve Andersson,"Senior Director, Product Inclusion, Equity & Accessibility, Google",Corporate executive/engineer,Leads Google's company-wide accessibility programme (hundreds of staff); oversaw wheelchair-accessible routing in Google Maps,"USA (Mountain View, CA)",-10,"04:00-07:00 PDT (pre-dawn, unrealistic live)","Verified (Forbes, Sight Tech Global, AFP)",Via Google press office,(corporate — no personal site found),"Y — Sight Tech Global, AFP interviews, NFB panels",Not sent,"At Google 15+ years, leading the accessibility team since 2013; co-founded ArsDigita (acquired by Red Hat); Caltech/Berkeley engineering degrees, Wharton MBA",Forbes Accessibility 100 lister; frequent cross-industry panels alongside Apple/Microsoft counterparts,Same bad US timezone as the other Big Tech accessibility chiefs — consider a recorded message
kate-headley,4,existing,Kate Headley,"Founder, RIDI (Recruitment Industry Disability Initiative) & The Clear Company",Disability recruitment consultant,Advises employers on disability-confident recruitment at scale (UK-wide initiative),UK,-2,12:00-15:00 BST (ideal),Verified (REC.uk.com quoted),Not found yet — check theclearcompany.co.uk,(verify URL),"Y — video series, panels",Not sent,Long-time UK recruitment-industry figure; founded RIDI to push disability-confident hiring practice across the sector,Regularly featured in UK REC (Recruitment & Employment Confederation) educational content,More of an enabler-of-employers than a direct employer — good secondary speaker
lucy-edwards,4,new,Lucy Edwards,"Broadcaster/presenter (BBC), content creator, Microsoft accessibility collaborator","Media professional, blind",First blind presenter on BBC Radio 1/BBC platforms; works with Microsoft on accessibility features and campaigns — a mainstream employer visibly accommodating and showcasing a blind employee,UK,-2,12:00-15:00 BST (ideal),"Verified (Envision blog feature, BBC public record)",Via management/social — not individually found this session,instagram.com/lucyedwardsofficial,"Y — huge platform across Instagram/YouTube/TikTok, '#BlindNotBroken' advocacy",Not sent,Lost her sight in her teens/twenties; became the first blind BBC Radio 1 presenter and built a large lifestyle/beauty/tech platform,Frequently partners with Microsoft on accessibility storytelling; strong mainstream (non-disability-niche) audience crossover,Good complementary angle: 'employed at a mainstream company' rather than 'runs her own company'
rachael-mole,4,existing,Rachael Mole,"CEO & Founder, SIC",Disability access & workplace inclusion consultancy founder,Advises/builds disability-inclusive recruitment and retention practices for employer clients,UK,-2,12:00-15:00 BST (ideal),Verified (Charity Digital quoted),Not found yet — search SIC official site,(verify URL),Y — interviews,Not sent,"Built SIC specifically around the 'workplace culture, not disability inclusion' framing — treats accessibility as good management practice generally",Vocal media commentator on performative vs. substantive inclusion practices,"Direct, quotable voice on why 'inclusion theatre' fails — good contrarian angle for a panel"
sabriye-tenberken,4,existing,Sabriye Tenberken,"Co-founder, Kanthari / Braille Without Borders","Social entrepreneur, educator",Kanthari trains and helps launch social enterprises run by disabled leaders (India),India,2.5,16:30-19:30 IST (good evening slot),"Verified — recognized public figure, not re-searched this session",Contact form on kanthari.org,kanthari.org,"Y — author, international lecturer",Not sent,Lost her sight at 12; developed the first Braille script for Tibetan and founded the first school for the blind in Tibet before co-founding Kanthari,Internationally published author; regularly lectures at universities and conferences worldwide,High-confidence real person from prior knowledge; confirm current details before sending
sarah-herrlinger,4,new,Sarah Herrlinger,"Sr. Director, Global Accessibility Policy & Initiatives, Apple",Corporate executive,"Leads Apple's accessibility strategy across all hardware, software, services and disability-community engagement","USA (Cupertino, CA)",-10,"04:00-07:00 PDT (pre-dawn, unrealistic live)","Verified (Forbes, Sight Tech Global, AFP, NFB panel transcript)",Via Apple press office,(corporate),"Y — NFB convention panels, AFP interviews",Not sent,"At Apple since 2003 across several accessibility and education roles; DePauw BA, Stanford MBA",Forbes Accessibility 100 lister; regularly quoted alongside Google/Microsoft peers on Apple's accessibility approach,Same timezone constraint as the other US Big Tech names
chris-downey,3,existing,Chris Downey,"Architect, universal-design consultant","Architect / consultant, blind","Individual consultant on accessible design, not an employer story",USA (California),-10,"04:00-07:00 PDT (pre-dawn, unrealistic)","Verified — recognized public figure, not re-searched this session",Not found yet,chrisdowney.com (unverified),Y — TED speaker,Not sent,"Lost his sight in 2008 to a brain tumor and continued practicing as an architect, becoming a sought-after consultant on universal design",TED speaker; widely covered as an example of continuing a demanding professional career after vision loss,Same timezone problem as Girma/Kish; weak topical fit
chris-gray,3,existing,Chris Gray,"Founder, Your Empire",Real-estate investor / TV presenter,"Runs a property investment company; legally blind himself, not documented as PWD-focused employer",Australia,7,"21:00-24:00 AEST (very late, hard slot)","Verified — recognized public figure, not re-searched this session",Not found yet,yourempire.com.au (unverified),Y — Sky News Business host,Not sent,Legally blind due to a hereditary condition; began investing in property at 22 and built a large portfolio,Hosted his own business show on Sky News Business for several years,Timezone is the real blocker here — 9pm-midnight local; deprioritize unless slot flexibility exists
daniel-kish,3,existing,Daniel Kish,"Founder, World Access for the Blind","Educator, echolocation pioneer",Nonprofit trains blind people in independent mobility; not primarily a 'workplace employer' story,USA (California),-10,"04:00-07:00 PDT (pre-dawn, unrealistic)","Verified — recognized public figure, not re-searched this session",Not found yet,worldaccessfortheblind.org (unverified),Y — TED speaker,Not sent,Blind since infancy; pioneered and popularized human echolocation ('FlashSonar') as a mobility technique,TED speaker; internationally recognized mobility-training pioneer,Inspiring but weak fit to 'employer' brief plus the worst timezone on the list — low priority
haben-girma,3,existing,Haben Girma,"Disability rights lawyer, author, speaker","Lawyer / professional speaker, deafblind",High-profile advocate; not an employer of PWD herself,USA (California),-10,"04:00-07:00 PDT (pre-dawn, unrealistic)","Verified — recognized public figure, not re-searched this session",Speaking-inquiry form on habengirma.com,habengirma.com,"Y — bestselling author, frequent keynote",Not sent,First deafblind graduate of Harvard Law School; practiced disability rights law before becoming a full-time author/speaker,Bestselling memoir 'Haben'; recognized by the White House as a 'Champion of Change',Great name recognition but timezone plus non-employer angle both work against fit
james-rath,3,new,James Rath,"Filmmaker, disability/accessibility activist","Filmmaker/activist, legally blind",Advocates for accessibility in film/media production; less of a direct 'employer' story than others,USA,-10,"04:00-07:00 PDT (pre-dawn, unrealistic)","Recognized public figure, not deeply re-searched this session",Not found yet,instagram.com/jamesrath,Y — Instagram/press,Not sent,Filmmaker and activist living with legal blindness,Featured in Envision's blind/low-vision content-creator roundup,Weaker fit to the 'employer' brief — media advocate rather than an employer
luke-christian,3,existing,Luke Christian,"Founder & CEO, Deaf Identity",Deaf-led fashion brand founder,"Small deaf-led company; employs some deaf staff, scale not quantified",UK,-2,12:00-15:00 BST (ideal),"Verified (Deaf Unity feature, Yorkshire Post)",Not found yet — search official brand site/Instagram,(verify URL),Y — press interview,Not sent,Founded Deaf Identity after his deaf mother expressed frustration at the lack of clothing supporting Deaf Awareness Week,Covered by Deaf Unity and regional UK press,Good story but smaller/less corporate scale than other UK leads
nidhi-goyal,3,existing,Nidhi Goyal,"Founder & Executive Director, Rising Flame",Disability & gender rights activist,"NGO focused on leadership/advocacy for women & youth with disabilities — advocacy, not a direct employer",India,2.5,16:30-19:30 IST (good evening slot),"Verified (Wikipedia, org site)",nidhi@risingflame.org,risingflame.org,"Y — UN panels, stand-up comedy",Not sent,14+ years in disability rights and gender justice activism; founded Rising Flame in 2017,Youngest and only disabled Steering Committee member of Civil20 India's Disability Working Group (2023),Great speaker but weaker fit to 'employer' brief than others — good backup/secondary option
peter-korn,3,new,Peter Korn,"Director of Accessibility, Amazon Lab126",Corporate executive/engineer,"Leads accessibility engineering for Amazon devices (Kindle, Echo, Fire)","USA (Sunnyvale, CA)",-10,"04:00-07:00 PDT (pre-dawn, unrealistic live)",Verified (NFB panel transcript),Via Amazon press office,(corporate),Y — NFB convention panelist,Not sent,"Long-time accessibility engineer, previously at Sun Microsystems and Oracle before Amazon",Active in W3C accessibility standards work,Same US-timezone constraint; lower public profile than the other Big Tech names
r-mi-du-chalard,3,new,Rémi du Chalard,"Founder, Seehaptic (Artha)",Entrepreneur,"Developed a haptic-feedback navigation belt for blind users (camera + AI + tactile spatial code, an alternative to audio-based systems)",France (Paris),-1,13:00-16:00 CEST (ideal),Verified (Tech Funding News CES 2026 coverage),Not found yet,Not found yet,Unclear,Not sent,Founded Seehaptic in 2018; exhibited at CES 2026 under the Artha brand,Featured in Tech Funding News' CES 2026 European deep-tech roundup,"Smaller/earlier-stage company than the others — thinner public profile, good timezone though"
sean-callagy,3,existing,Sean Callagy,"Founder, Callagy Law / Unblinded",Attorney & business coach,Runs a law firm and a business-education platform; frequent podcast guest on disability/business,USA (New Jersey),-7,07:00-10:00 EDT (early but workable),"Verified — recognized public figure, not re-searched this session",Contact form callagylaw.com,callagylaw.com,Y — frequent podcast guest,Not sent,Legally blind due to retinitis pigmentosa; built a law firm and the 'Unblinded' business-education platform,Frequent guest on business/motivation podcasts discussing life as a 'blind millionaire/billionaire in development',"Confirm current firm/PWD-hiring specifics before pitching — brief needs hiring practices, not just his own story"
chris-mccausland,2,existing,Chris McCausland,"Stand-up comedian, TV presenter","Entertainer, blind",Blind comedian; no documented PWD-hiring practice,UK,-2,12:00-15:00 BST (ideal),"Recognized public figure, not re-searched this session",Not found yet,(unverified),Unclear,Not sent,Lost his sight gradually to retinitis pigmentosa; built a career in UK stand-up and television,Winner of Strictly Come Dancing (UK); high mainstream name recognition,High name recognition but not an employer story — celebrity-inspiration only
richard-turner,2,existing,Richard Turner,Card magician / casino security consultant,"Performer / consultant, blind",Blind performer; no documented PWD-hiring practice,USA (unclear state),,unknown,"Recognized public figure, not re-searched this session",Not found yet,(unverified),Unclear,Not sent,Lost his sight to a childhood illness; became one of history's most skilled card mechanics and a casino anti-fraud consultant,Subject of the documentary 'Dealt',"Inspiring personal story, but not an 'employer' — weak fit to brief"
robin-millar,2,existing,Robin Millar,Music producer / entrepreneur,"Record producer, blind",Blind record producer; no documented PWD-hiring practice,UK,-2,12:00-15:00 BST (ideal),"Recognized public figure, not re-searched this session",Not found yet,(unverified),Unclear,Not sent,Completely blind since 1985; produced landmark albums for Sade and others across the 1980s-90s,Regarded as one of the most successful figures in British music production despite blindness,Good timezone but topical fit to 'employer of PWD' is weak — celebrity-inspiration angle only
andrea-bocelli,1,existing,Andrea Bocelli,Opera tenor,"Musician, blind",Blind singer; not an employer-of-PWD story,Italy,-1,13:00-16:00 CEST (ideal),"Recognized public figure, not re-searched this session",Not found yet,andreabocellifoundation.org (unverified),Unclear,Not sent,Blind since age 12; one of the best-selling artists in classical/crossover music history,"Runs the Andrea Bocelli Foundation, focused on education and health access, not employment specifically",Famous but off-topic for an 'employer practices' conference — deprioritize
david-goldfield,1,existing,David Goldfield,'Tech investor' (as described in source doc),Unclear,"Unverifiable — no corroborating source found; common name, not searchable with confidence",Unclear,None,unknown,UNCONFIRMED — could not verify this person exists,N/A,N/A,N/A,Not sent,N/A,N/A,Do not contact without independent verification
helen-heckstro,1,existing,Helen Heckstro,'Real-estate investor' (as described in source doc),Unclear,Unverifiable — no corroborating source found,Unclear,None,unknown,UNCONFIRMED — could not verify this person exists; pattern matches other fabricated entries in the source doc,N/A,N/A,N/A,Not sent,N/A,N/A,Do not contact without independent verification
martyn-courtenay,1,existing,Martyn Courtenay,'Tech entrepreneur' (as described in source doc),Unclear,Unverifiable — no corroborating source found,Unclear,None,unknown,UNCONFIRMED — could not verify this person exists; pattern matches other fabricated entries in the source doc,N/A,N/A,N/A,Not sent,N/A,N/A,Do not contact without independent verification
michael-forward,1,existing,Michael Forward,'IT millionaire' (as described in source doc),Unclear,Unverifiable — no corroborating source found,Unclear,None,unknown,UNCONFIRMED — could not verify this person exists; pattern matches other fabricated entries in the source doc,N/A,N/A,N/A,Not sent,N/A,N/A,Do not contact without independent verification
steve-wynn,1,existing,Steve Wynn,"Ex-Chairman/CEO, Wynn Resorts","Former casino executive, legally blind",Legally blind (retinitis pigmentosa); resigned as CEO in 2018 amid sexual-misconduct allegations (denied); no longer runs a company,USA (Las Vegas),-10,"04:00-07:00 PDT (pre-dawn, unrealistic)","Verified alive/active in 2026 (Forbes, local press) — re-checked this session",No reliable direct channel found,stevewynn.net,Y — recent public talks about his career,Not sent,"Built The Mirage, Treasure Island, Bellagio and Wynn Resorts, reshaping the Las Vegas Strip","Resigned as CEO in 2018 following a Wall Street Journal investigation into sexual-misconduct allegations, which he denies",NOT recommended: reputational risk from misconduct allegations plus no current employer role plus worst-possible timezone
stevie-wonder,1,existing,Stevie Wonder,Musician,"Musician, blind",Blind from birth; not an employer-of-PWD story,USA,,unknown,"Recognized public figure, not re-searched this session",Not found yet,(unverified),Unclear,Not sent,Blind from shortly after birth; one of the most influential musicians of the 20th century,No documented employer-of-PWD initiative found,Famous but off-topic for an 'employer practices' conference — deprioritize
charlie-munger,0,existing,Charlie Munger,"Late Vice Chairman, Berkshire Hathaway",N/A,Deceased (Nov 2023) — already noted as historical in source doc,N/A,None,N/A,Confirmed deceased,N/A,N/A,N/A,Do not contact,N/A,N/A,Included for completeness only; not a viable lead
